#OTU ID	M04754
OTU809	2000
OTU218	2229
OTU2585	419
OTU205	8809
OTU3575	110
OTU7000	126
OTU4217	235
OTU72	19456
OTU7732	47
OTU145	9922
OTU9423	413
OTU2219	1438
OTU353	8320
OTU69	12247
OTU25425	31578
OTU26949	1989
OTU208	2971
OTU909	13398
OTU36	11295
OTU88	13834
OTU1289	1461
OTU19144	7065
OTU167	8498
OTU9900	14139
OTU1290	733
OTU37	21582
OTU11907	586
OTU408	2150
OTU21410	857
OTU5591	2522
OTU4983	240
OTU352	1858
OTU476	8780
OTU26	19281
OTU588	2949
OTU2141	429
OTU1040	1298
OTU1311	1809
OTU8955	596
OTU14568	107
OTU691	6347
OTU275	5501
OTU1488	1237
OTU15537	1483
OTU1650	802
OTU24585	1010
OTU1581	2618
OTU2392	227
OTU452	5821
OTU439	1988
OTU1940	2024
OTU1112	1002
OTU157	12678
OTU2140	270
OTU627	2929
OTU189	9780
OTU9	21518
OTU10030	87
OTU5528	808
OTU670	1785
OTU41	13604
OTU3988	440
OTU126	8000
OTU2581	1232
OTU6206	64
OTU1262	1777
OTU630	2644
OTU22129	2225
OTU10576	11
OTU542	3702
OTU11616	316
OTU327	2191
OTU2495	751
OTU52	5421
OTU313	7256
OTU25893	226
OTU3094	791
OTU2493	606
OTU412	3153
OTU2157	678
OTU303	8078
OTU122	6628
OTU21010	16359
OTU3051	121
OTU348	11598
OTU480	6453
OTU485	1310
OTU246	2834
OTU7336	184
OTU1080	1426
OTU3257	337
OTU21792	3844
OTU1580	418
OTU95	8042
OTU15426	11
OTU23438	23151
OTU391	3225
OTU971	1741
OTU2865	272
OTU18038	8706
OTU12893	12
OTU1631	1408
OTU457	1842
OTU920	1630
OTU3836	429
OTU622	1156
OTU511	2061
OTU2620	1478
OTU19683	7
OTU342	1908
OTU171	10337
OTU1610	452
OTU19	14009
OTU14919	239
OTU813	3368
OTU1269	1041
OTU995	7476
OTU199	3861
OTU12651	12918
OTU921	1539
OTU238	4004
OTU1536	663
OTU828	8962
OTU2549	3162
OTU304	2937
OTU871	1700
OTU7353	128
OTU7481	41
OTU159	5740
OTU8400	530
OTU2335	7057
OTU1007	1120
OTU104	13286
OTU300	3143
OTU243	2722
OTU196	3012
OTU1227	1172
OTU230	4322
OTU1373	1691
OTU1863	915
OTU581	11229
OTU1835	327
OTU1346	819
OTU712	2577
OTU11828	88
OTU26122	2933
OTU19592	4943
OTU63	9226
OTU1508	1113
OTU4256	1785
OTU1466	1564
OTU6728	301
OTU414	3939
OTU6029	634
OTU692	1673
OTU2636	163
OTU16900	573
OTU3939	746
OTU372	1798
OTU629	2244
OTU6821	40
OTU27114	1263
OTU16133	2405
OTU2232	802
OTU22330	13421
OTU26760	1412
OTU28113	2767
OTU609	1429
OTU27188	473
OTU20242	688
OTU1274	666
OTU357	1654
OTU1167	576
OTU867	2894
OTU1230	828
OTU43	9486
OTU1833	936
OTU1209	1158
OTU2861	1349
OTU693	3110
OTU233	6490
OTU8882	39
OTU521	1848
OTU17652	134
OTU6263	274
OTU22221	484
OTU792	4712
OTU25353	6474
OTU633	1307
OTU830	1442
OTU20829	150
OTU924	6792
OTU323	3494
OTU1203	3294
OTU11226	312
OTU26613	1028
OTU1215	7942
OTU3923	2603
OTU12583	1779
OTU2353	298
OTU2234	355
OTU1454	467
OTU403	3272
OTU206	10507
OTU298	3713
OTU1380	570
OTU417	1939
OTU770	799
OTU22943	6
OTU848	2306
OTU1509	1920
OTU1693	2950
OTU2065	3168
OTU1219	573
OTU127	4638
OTU19297	118
OTU884	2399
OTU469	2016
OTU195	4037
OTU1859	3354
OTU474	4293
OTU862	1238
