#OTU ID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
OTU16234	360	90	767	61	648	543	390	310	415	317	983	20	7	102	339	266	1262	22	644	721	691	109	1384	53	560	167	308	219	259	335
OTU20286	166	45	17	35	136	39	108	16	278	57	172	92	2	24	89	99	91	13	120	15	69	18	134	60	40	137	22	14	72	14
OTU3234	21	44	7	1	7	3	2	3	7	23	17	25	0	3	10	4	46	0	9	0	0	4	2	6	2	3	3	2	0	2
OTU121	723	461	479	92	414	298	184	398	193	1102	1106	1538	121	603	521	134	303	554	286	641	223	963	477	987	372	795	479	473	448	346
OTU27902	1	0	2	0	0	0	0	0	0	1	0	3	0	1	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1
OTU760	103	39	24	346	48	21	27	40	62	119	2	36	23	20	107	35	72	107	28	22	19	12	18	18	5	9	77	147	674	48
OTU16	864	451	961	482	1127	435	593	598	623	1058	3913	1576	103	655	982	657	909	203	548	1349	556	685	1655	979	943	598	349	456	335	538
OTU4918	12	33	7	2	16	7	6	8	7	15	14	8	0	14	11	6	14	5	15	5	7	7	24	0	9	6	7	9	2	5
OTU15	1532	1415	2364	513	959	628	814	1024	628	1512	763	1290	167	792	1214	843	1244	2211	451	521	1453	2275	1415	2216	880	1816	824	1033	1133	1256
OTU39	1206	758	2257	331	2506	628	513	2808	907	1181	1139	1806	2	873	2815	368	1178	502	1282	3437	910	2616	508	1065	992	246	874	514	571	2567
OTU5888	59	5	3	0	90	17	26	0	6	5	296	0	1	1	23	195	70	0	313	44	5	7	232	2	33	19	0	0	26	5
OTU2621	105	29	28	68	75	116	91	85	342	58	103	53	3	98	72	91	195	35	348	22	227	11	77	27	29	26	10	28	70	39
OTU548	94	20	11	35	40	27	71	23	70	203	97	109	2	63	64	96	52	20	55	11	48	11	81	88	9	35	44	20	34	20
OTU6267	6	75	2	94	12	48	10	2	31	17	54	4	6	26	10	287	30	25	73	1	11	0	17	4	5	21	1	5	55	1
OTU3979	16	3	9	10	13	5	16	9	66	12	5	4	0	4	8	0	33	0	5	18	4	6	1	5	12	0	5	9	7	9
OTU1	5246	4253	3295	4888	4192	3193	6985	2756	11241	2736	13958	6041	6244	4370	3564	3650	3909	3602	5529	3900	3551	1996	2738	4455	1986	4149	2500	1504	2977	1743
OTU13109	4622	1722	3671	6055	2618	3893	4044	1486	7452	1965	5518	1847	3633	1697	2423	1914	3188	1056	3739	2784	2582	1689	4734	1547	2640	1855	1065	1665	1625	1780
OTU5549	6	8	4	11	8	3	2	5	15	17	9	14	2	7	13	0	7	1	8	5	15	9	14	5	11	7	13	5	10	4
OTU24177	15	35	39	5	47	35	38	45	66	237	290	17	4	22	56	18	138	0	49	104	103	8	280	5	25	27	18	6	14	33
OTU18860	717	992	938	3098	77	440	1280	28	1225	94	100	243	8328	349	185	925	159	1121	660	11	125	298	249	788	34	234	43	135	355	310
OTU168	184	248	214	234	304	126	121	268	419	106	107	73	26	694	213	346	200	478	185	186	273	56	38	40	169	75	307	358	450	231
OTU33	1714	1545	1496	2108	1093	1182	899	1137	2248	2954	2464	975	1202	2198	1436	994	2218	621	1627	1827	2655	679	1678	668	1582	447	652	913	1750	957
OTU603	245	11	20	32	74	0	2	5	0	11	0	21	0	18	16	3	2	62	23	5	0	39	0	81	68	257	13	2	0	40
OTU6642	4	1	2	0	3	0	1	6	0	0	1	17	0	1	0	1	0	3	0	1	0	0	1	2	1	0	0	4	0	0
OTU263	233	98	12	220	49	155	266	52	301	67	241	118	114	91	70	117	183	136	193	9	137	30	143	122	29	58	27	66	87	29
OTU25283	2200	654	756	988	1486	1519	1729	1755	2362	1574	2339	1272	200	1594	2107	1482	1769	414	2323	1224	1657	486	1701	863	969	918	1078	791	2289	1247
OTU53	695	333	496	429	994	508	923	508	1375	579	2388	575	95	527	826	448	1297	194	743	1150	694	449	611	502	430	271	341	187	406	440
OTU1805	110	0	2	5	7	63	1	16	3	0	0	1	0	2	2	57	11	0	40	5	0	0	0	1	0	0	1	5	1	2
OTU16882	946	594	2786	446	1115	818	553	1043	347	1880	1669	1188	1	1396	1612	448	1636	168	1248	2135	2096	1303	2349	420	2006	403	810	935	518	1432
OTU46	363	255	117	261	159	234	435	193	250	363	226	98	5	589	456	91	521	53	293	29	390	47	617	164	61	115	185	68	267	87
OTU15676	1	0	0	2	0	0	1	0	0	0	0	1	0	1	0	1	4	0	3	0	0	0	0	1	3	1	0	1	2	0
OTU60	119	454	235	21	296	90	31	420	164	118	70	944	9	147	115	98	320	1412	183	50	178	72	48	107	149	207	230	348	48	138
